Dia,Suseptibles,Infectados,Personas Sanas,Recuperados
dia 87,suseptibles 1383,infectados 848,personas sanas 7152,recuperados 5769
dia 88,suseptibles 1350,infectados 781,personas sanas 7219,recuperados 5869
dia 89,suseptibles 1321,infectados 717,personas sanas 7283,recuperados 5962
dia 90,suseptibles 1286,infectados 663,personas sanas 7337,recuperados 6051
dia 91,suseptibles 1262,infectados 595,personas sanas 7405,recuperados 6143
dia 92,suseptibles 1241,infectados 545,personas sanas 7455,recuperados 6214
dia 93,suseptibles 1223,infectados 471,personas sanas 7529,recuperados 6306
dia 94,suseptibles 1207,infectados 441,personas sanas 7559,recuperados 6352
dia 95,suseptibles 1197,infectados 393,personas sanas 7607,recuperados 6410
dia 96,suseptibles 1187,infectados 354,personas sanas 7646,recuperados 6459
dia 97,suseptibles 1177,infectados 323,personas sanas 7677,recuperados 6500
dia 98,suseptibles 1171,infectados 285,personas sanas 7715,recuperados 6544
dia 99,suseptibles 1163,infectados 258,personas sanas 7742,recuperados 6579
dia 100,suseptibles 1157,infectados 231,personas sanas 7769,recuperados 6612
dia 101,suseptibles 1153,infectados 199,personas sanas 7801,recuperados 6648
dia 102,suseptibles 1148,infectados 171,personas sanas 7829,recuperados 6681
dia 103,suseptibles 1143,infectados 150,personas sanas 7850,recuperados 6707
dia 104,suseptibles 1140,infectados 125,personas sanas 7875,recuperados 6735
dia 105,suseptibles 1136,infectados 109,personas sanas 7891,recuperados 6755
dia 106,suseptibles 1134,infectados 93,personas sanas 7907,recuperados 6773
dia 107,suseptibles 1131,infectados 80,personas sanas 7920,recuperados 6789
dia 108,suseptibles 1128,infectados 70,personas sanas 7930,recuperados 6802
dia 109,suseptibles 1128,infectados 59,personas sanas 7941,recuperados 6813
dia 110,suseptibles 1127,infectados 51,personas sanas 7949,recuperados 6822
dia 111,suseptibles 1124,infectados 46,personas sanas 7954,recuperados 6830
dia 112,suseptibles 1124,infectados 40,personas sanas 7960,recuperados 6836
dia 113,suseptibles 1124,infectados 37,personas sanas 7963,recuperados 6839
dia 114,suseptibles 1124,infectados 29,personas sanas 7971,recuperados 6847
dia 115,suseptibles 1124,infectados 24,personas sanas 7976,recuperados 6852
dia 116,suseptibles 1123,infectados 22,personas sanas 7978,recuperados 6855
dia 117,suseptibles 1122,infectados 18,personas sanas 7982,recuperados 6860
dia 118,suseptibles 1122,infectados 16,personas sanas 7984,recuperados 6862
dia 119,suseptibles 1122,infectados 11,personas sanas 7989,recuperados 6867
