Dia,Suseptibles,Infectados,Personas Sanas,Recuperados
dia 375,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 376,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 377,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 378,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 379,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 380,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 381,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 382,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 383,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 384,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 385,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 386,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 387,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 388,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 389,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 390,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 391,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 392,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 393,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 394,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 395,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 396,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 397,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 398,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 399,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 400,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 401,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 402,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 403,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 404,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 405,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 406,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 407,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 408,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 409,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 410,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 411,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 412,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 413,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 414,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 415,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 416,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 417,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 418,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 419,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 420,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 421,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 422,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 423,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 424,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 425,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 426,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 427,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 428,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 429,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 430,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 431,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 432,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 433,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 434,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 435,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 436,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 437,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 438,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 439,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 440,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 441,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 442,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 443,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 444,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 445,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 446,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 447,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 448,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 449,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 450,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 451,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 452,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 453,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 454,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 455,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 456,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 457,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 458,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 459,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 460,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 461,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 462,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 463,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 464,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 465,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 466,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 467,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 468,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 469,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 470,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 471,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 472,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 473,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 474,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 475,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 476,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 477,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 478,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 479,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 480,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 481,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 482,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 483,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 484,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 485,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 486,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 487,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 488,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 489,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 490,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 491,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 492,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 493,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 494,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 495,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 496,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 497,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 498,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 499,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 500,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
,,,,
